#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
2235150904471,-0.155081,0.0650168,0.134031,-9.38527,-0.608127,-0.804452
2235155901735,-0.13856,0.0652833,0.147087,-9.3326,-0.560243,-0.754174
2235160895646,-0.122573,0.0746095,0.145489,-9.31584,-0.469264,-0.679953
2235165894112,-0.106052,0.0897979,0.130034,-9.23204,-0.428562,-0.627281
2235170888079,-0.0889985,0.10845,0.10472,-9.27514,-0.325611,-0.629675
2235175881305,-0.0730107,0.128168,0.0724778,-9.26556,-0.270545,-0.708684
2235180879679,-0.0626187,0.145755,0.0421011,-9.28711,-0.191536,-0.701501
2235185878757,-0.0543583,0.164141,0.0135896,-9.30626,-0.071826,-0.713472
2235190870538,-0.0500949,0.181994,-0.0130567,-9.37809,-0.0814029,-0.742203
2235195867894,-0.0498285,0.196649,-0.0389035,-9.47864,-0.0335188,-0.792481
2235200863972,-0.0516937,0.205176,-0.0618193,-9.45949,-0.0670376,-0.835576
2235205876495,-0.0599541,0.210239,-0.0719449,-9.69891,-0.138864,-0.88346
2235210853627,-0.0660827,0.2177,-0.0644839,-9.64145,-0.105345,-0.955287
2235215850150,-0.0666156,0.206775,-0.0636845,-9.75158,-0.222661,-0.890643
2235220846986,-0.0810046,0.201712,-0.0386371,-9.73243,-0.169988,-0.914585
2235225842212,-0.0844686,0.187856,-0.0258469,-9.74201,-0.263362,-0.967257
2235230838882,-0.085268,0.173467,-0.0162542,-9.71567,-0.203507,-0.90022
2235235834756,-0.085268,0.164141,-0.00959265,-9.67497,-0.167594,-0.823605
2235240831592,-0.0847351,0.157213,-0.00959265,-9.67257,-0.138864,-0.727837
2235245827910,-0.085268,0.159078,-0.00905972,-9.69652,-0.1652,-0.739808
2235250824303,-0.0826034,0.158279,-0.010392,-9.6606,-0.150835,-0.746991
2235255820232,-0.0799387,0.157479,-0.0135896,-9.65103,-0.179565,-0.768539
2235260816476,-0.0711455,0.152949,-0.0183859,-9.61033,-0.201113,-0.744597
2235265812590,-0.0650168,0.154282,-0.0239816,-9.58878,-0.100556,-0.715866
2235270808742,-0.0572894,0.152683,-0.0330413,-9.56005,-0.0861913,-0.732626
2235275804708,-0.0522266,0.154282,-0.0367718,-9.58399,-0.035913,-0.76375
2235280801730,-0.0522266,0.158012,-0.0367718,-9.58878,0.0047884,-0.785298
2235285798122,-0.0516937,0.166539,-0.0444992,-9.54568,0.059855,-0.897826
2235290793885,-0.0516937,0.167871,-0.0575559,-9.52174,0.0933739,-0.885855